country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","21-08-2025 09:00:00",25.892357,86.590325,SO2,12,18,15
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","21-08-2025 09:00:00",25.892357,86.590325,OZONE,8,18,15
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","21-08-2025 09:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","21-08-2025 09:00:00",24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","21-08-2025 09:00:00",24.952822,84.002396,CO,40,64,50
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","21-08-2025 09:00:00",26.2271665,84.3570427,PM10,22,27,25
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","21-08-2025 09:00:00",26.11442,85.39813,NH3,4,7,6
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","21-08-2025 09:00:00",26.1403345,85.3650192,NH3,2,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","21-08-2025 09:00:00",26.1403345,85.3650192,SO2,6,21,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-08-2025 09:00:00",25.586562,85.043586,PM2.5,11,21,16
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-08-2025 09:00:00",25.586562,85.043586,SO2,5,7,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","21-08-2025 09:00:00",25.592539,85.227158,SO2,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","21-08-2025 09:00:00",25.619651,85.147382,PM10,40,105,70
India,Bihar,Patna,"Samanpura, Patna - BSPCB","21-08-2025 09:00:00",25.596727,85.085624,PM2.5,26,56,35
India,Bihar,Patna,"Samanpura, Patna - BSPCB","21-08-2025 09:00:00",25.596727,85.085624,NO2,35,52,44
India,Bihar,Patna,"Samanpura, Patna - BSPCB","21-08-2025 09:00:00",25.596727,85.085624,OZONE,14,72,18
